Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-03-31 16:11:39,297 WARNING: Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
======================================================================
TestGenEval Lite
  Examples: 160 across 11 repos
    astropy/astropy: 3
    django/django: 66
    matplotlib/matplotlib: 7
    mwaskom/seaborn: 2
    pallets/flask: 1
    pydata/xarray: 3
    pylint-dev/pylint: 2
    pytest-dev/pytest: 12
    scikit-learn/scikit-learn: 20
    sphinx-doc/sphinx: 2
    sympy/sympy: 42
  Strategies: ['cov_qvalue_exec']
  Seeds: [42]
  Exec budget: 24
  Total runs: 160
======================================================================
  Connectivity: OK

Running 160 targets with 4 workers...
  [1/160] sphinx/util/typing.py (sphinx-doc/sphinx v3.5): {'cov_qvalue_exec': 2}
  [2/160] astropy/wcs/wcs.py (astropy/astropy v1.3): {'cov_qvalue_exec': 84}
  [3/160] sympy/physics/units/util.py (sympy/sympy v1.8): {'cov_qvalue_exec': 16}
  [4/160] lib/mpl_toolkits/axes_grid1/axes_grid.py (matplotlib/matplotlib v3.7): {'cov_qvalue_exec': 20}
  [5/160] sympy/geometry/util.py (sympy/sympy v1.4): {'cov_qvalue_exec': 21}
  [6/160] sympy/printing/pretty/pretty.py (sympy/sympy v1.11): {'cov_qvalue_exec': 61}
  [7/160] sympy/printing/pretty/pretty.py (sympy/sympy v1.8): {'cov_qvalue_exec': 73}
  [8/160] sympy/utilities/iterables.py (sympy/sympy v1.6): {'cov_qvalue_exec': 31}
  [9/160] django/views/debug.py (django/django v3.1): {'cov_qvalue_exec': 191}
  [10/160] sympy/utilities/iterables.py (sympy/sympy v1.7): {'cov_qvalue_exec': 31}
  [11/160] django/views/debug.py (django/django v3.0): {'cov_qvalue_exec': 62}
  [12/160] django/forms/models.py (django/django v4.0): {'cov_qvalue_exec': 31}
  [13/160] xarray/core/formatting.py (pydata/xarray v0.12): {'cov_qvalue_exec': 14}
  [14/160] lib/matplotlib/figure.py (matplotlib/matplotlib v3.7): {'cov_qvalue_exec': 149}
  [15/160] sympy/core/function.py (sympy/sympy v1.9): {'cov_qvalue_exec': 48}
  [16/160] sklearn/metrics/cluster/_supervised.py (scikit-learn/scikit-learn v0.22): {'cov_qvalue_exec': 0}
  [17/160] sympy/printing/latex.py (sympy/sympy v1.8): {'cov_qvalue_exec': 415}
  [18/160] django/forms/models.py (django/django v4.1): {'cov_qvalue_exec': 24}
  [19/160] sympy/printing/latex.py (sympy/sympy v1.1): {'cov_qvalue_exec': 355}
  [20/160] sympy/printing/latex.py (sympy/sympy v1.1): {'cov_qvalue_exec': 77}
  [21/160] src/flask/cli.py (pallets/flask v2.3): {'cov_qvalue_exec': 18}
  [22/160] django/contrib/admin/utils.py (django/django v3.1): {'cov_qvalue_exec': 67}
  [23/160] sympy/functions/elementary/hyperbolic.py (sympy/sympy v1.1): {'cov_qvalue_exec': 110}
  [24/160] django/db/backends/base/creation.py (django/django v3.2): {'cov_qvalue_exec': 36}
  [25/160] sklearn/feature_selection/mutual_info_.py (scikit-learn/scikit-learn v0.21): {'cov_qvalue_exec': 0}
  [26/160] django/utils/text.py (django/django v3.2): {'cov_qvalue_exec': 91}
  [27/160] django/core/cache/backends/filebased.py (django/django v4.2): {'cov_qvalue_exec': 8}
  [28/160] sympy/physics/quantum/tensorproduct.py (sympy/sympy v1.12): {'cov_qvalue_exec': 12}
  [29/160] django/db/backends/base/creation.py (django/django v3.1): {'cov_qvalue_exec': 33}
  [30/160] sympy/printing/str.py (sympy/sympy v1.9): {'cov_qvalue_exec': 29}
  [31/160] django/utils/autoreload.py (django/django v3.0): {'cov_qvalue_exec': 104}
  [32/160] django/utils/autoreload.py (django/django v3.0): {'cov_qvalue_exec': 93}
  [33/160] django/utils/http.py (django/django v3.1): {'cov_qvalue_exec': 125}
  [34/160] xarray/core/groupby.py (pydata/xarray v0.12): {'cov_qvalue_exec': 47}
  [35/160] sympy/assumptions/refine.py (sympy/sympy v1.8): {'cov_qvalue_exec': 25}
  [36/160] django/db/models/query.py (django/django v5.0): {'cov_qvalue_exec': 211}
  [37/160] src/_pytest/_code/source.py (pytest-dev/pytest v7.0): {'cov_qvalue_exec': 16}
  [38/160] sympy/core/numbers.py (sympy/sympy v1.1): {'cov_qvalue_exec': 140}
  [39/160] sympy/core/numbers.py (sympy/sympy v1.1): {'cov_qvalue_exec': 138}
  [40/160] sympy/utilities/codegen.py (sympy/sympy v1.5): {'cov_qvalue_exec': 320}
  [41/160] django/utils/html.py (django/django v4.2): {'cov_qvalue_exec': 7}
  [42/160] sympy/core/numbers.py (sympy/sympy v1.1): {'cov_qvalue_exec': 219}
  [43/160] django/db/models/query.py (django/django v3.2): {'cov_qvalue_exec': 178}
  [44/160] sympy/core/basic.py (sympy/sympy v1.6): {'cov_qvalue_exec': 30}
  [45/160] sympy/functions/elementary/complexes.py (sympy/sympy v1.9): {'cov_qvalue_exec': 35}
  [46/160] django/forms/formsets.py (django/django v4.0): {'cov_qvalue_exec': 55}
  [47/160] sklearn/pipeline.py (scikit-learn/scikit-learn v0.21): {'cov_qvalue_exec': 0}
  [48/160] django/template/defaultfilters.py (django/django v5.0): {'cov_qvalue_exec': 0}
  [49/160] django/core/management/commands/shell.py (django/django v3.2): {'cov_qvalue_exec': 31}
  [50/160] django/db/migrations/serializer.py (django/django v3.1): {'cov_qvalue_exec': 137}
  [51/160] django/db/migrations/serializer.py (django/django v3.1): {'cov_qvalue_exec': 119}
  [52/160] astropy/modeling/separable.py (astropy/astropy v4.3): {'cov_qvalue_exec': 22}
  [53/160] django/http/response.py (django/django v3.0): {'cov_qvalue_exec': 160}
  [54/160] django/db/migrations/executor.py (django/django v4.1): {'cov_qvalue_exec': 21}
  [55/160] django/db/migrations/serializer.py (django/django v4.2): {'cov_qvalue_exec': 109}
  [56/160] django/db/migrations/serializer.py (django/django v5.0): {'cov_qvalue_exec': 0}
  [57/160] django/db/models/base.py (django/django v3.2): {'cov_qvalue_exec': 184}
  [58/160] django/db/migrations/serializer.py (django/django v4.0): {'cov_qvalue_exec': 110}
  [59/160] django/db/models/base.py (django/django v4.0): {'cov_qvalue_exec': 3}
  [60/160] django/db/migrations/operations/models.py (django/django v4.1): {'cov_qvalue_exec': 187}
  [61/160] django/forms/widgets.py (django/django v3.0): {'cov_qvalue_exec': 347}
  [62/160] sklearn/linear_model/logistic.py (scikit-learn/scikit-learn v0.22): {'cov_qvalue_exec': 0}
  [63/160] src/_pytest/mark/evaluate.py (pytest-dev/pytest v5.4): {'cov_qvalue_exec': 0}
  [64/160] django/contrib/admin/checks.py (django/django v5.0): {'cov_qvalue_exec': 0}
  [65/160] src/_pytest/python.py (pytest-dev/pytest v4.4): {'cov_qvalue_exec': 0}
  [66/160] django/contrib/auth/tokens.py (django/django v3.2): {'cov_qvalue_exec': 19}
  [67/160] django/urls/resolvers.py (django/django v4.0): {'cov_qvalue_exec': 4}
  [68/160] lib/matplotlib/offsetbox.py (matplotlib/matplotlib v3.7): {'cov_qvalue_exec': 96}
  [69/160] sklearn/utils/validation.py (scikit-learn/scikit-learn v0.20): {'cov_qvalue_exec': 0}
  [70/160] django/db/migrations/operations/models.py (django/django v4.1): {'cov_qvalue_exec': 185}
  [71/160] src/_pytest/_io/saferepr.py (pytest-dev/pytest v5.4): {'cov_qvalue_exec': 2}
  [72/160] sklearn/neighbors/base.py (scikit-learn/scikit-learn v0.20): {'cov_qvalue_exec': 0}
  [73/160] django/utils/decorators.py (django/django v4.1): {'cov_qvalue_exec': 9}
  [74/160] sympy/matrices/expressions/blockmatrix.py (sympy/sympy v1.6): {'cov_qvalue_exec': 30}
  [75/160] sympy/polys/monomials.py (sympy/sympy v1.9): {'cov_qvalue_exec': 42}
  [76/160] sympy/functions/elementary/complexes.py (sympy/sympy v1.7): {'cov_qvalue_exec': 57}
  [77/160] sklearn/svm/base.py (scikit-learn/scikit-learn v0.22): {'cov_qvalue_exec': 0}
  [78/160] seaborn/_core/scales.py (mwaskom/seaborn v0.12): {'cov_qvalue_exec': 13}
  [79/160] sympy/tensor/array/ndim_array.py (sympy/sympy v1.11): {'cov_qvalue_exec': 33}
  [80/160] sympy/printing/ccode.py (sympy/sympy v1.0): {'cov_qvalue_exec': 25}
  [81/160] django/db/models/query_utils.py (django/django v4.0): {'cov_qvalue_exec': 14}
  [82/160] src/_pytest/skipping.py (pytest-dev/pytest v5.4): {'cov_qvalue_exec': 70}
  [83/160] src/_pytest/skipping.py (pytest-dev/pytest v6.0): {'cov_qvalue_exec': 67}
  [84/160] django/db/models/fields/json.py (django/django v3.2): {'cov_qvalue_exec': 143}
  [85/160] sympy/physics/units/unitsystem.py (sympy/sympy v1.12): {'cov_qvalue_exec': 12}
  [86/160] sympy/physics/units/unitsystem.py (sympy/sympy v1.12): {'cov_qvalue_exec': 11}
  [87/160] django/db/models/query_utils.py (django/django v4.0): {'cov_qvalue_exec': 16}
  [88/160] django/db/migrations/autodetector.py (django/django v3.2): {'cov_qvalue_exec': 170}
  [89/160] src/_pytest/python.py (pytest-dev/pytest v7.0): {'cov_qvalue_exec': 0}
  [90/160] sklearn/utils/_pprint.py (scikit-learn/scikit-learn v0.21): {'cov_qvalue_exec': 0}
  [91/160] django/db/migrations/autodetector.py (django/django v3.1): {'cov_qvalue_exec': 72}
  [92/160] sympy/utilities/lambdify.py (sympy/sympy v1.2): {'cov_qvalue_exec': 20}
  [93/160] sympy/utilities/lambdify.py (sympy/sympy v1.11): {'cov_qvalue_exec': 79}
  [94/160] sklearn/preprocessing/_encoders.py (scikit-learn/scikit-learn v0.21): {'cov_qvalue_exec': 0}
  [95/160] django/contrib/admin/options.py (django/django v4.0): {'cov_qvalue_exec': 228}
  [96/160] django/contrib/auth/forms.py (django/django v4.0): {'cov_qvalue_exec': 5}
  [97/160] django/contrib/auth/forms.py (django/django v4.2): {'cov_qvalue_exec': 5}
  [98/160] sympy/matrices/expressions/blockmatrix.py (sympy/sympy v1.6): {'cov_qvalue_exec': 30}
  [99/160] sklearn/preprocessing/label.py (scikit-learn/scikit-learn v0.20): {'cov_qvalue_exec': 0}
  [100/160] lib/matplotlib/colorbar.py (matplotlib/matplotlib v3.7): {'cov_qvalue_exec': 107}
  [101/160] sympy/matrices/expressions/matexpr.py (sympy/sympy v1.0): {'cov_qvalue_exec': 8}
  [102/160] lib/matplotlib/artist.py (matplotlib/matplotlib v3.5): {'cov_qvalue_exec': 122}
  [103/160] sklearn/linear_model/ridge.py (scikit-learn/scikit-learn v0.20): {'cov_qvalue_exec': 0}
  [104/160] sympy/printing/mathematica.py (sympy/sympy v1.4): {'cov_qvalue_exec': 51}
  [105/160] django/db/models/sql/query.py (django/django v3.2): {'cov_qvalue_exec': 212}
  [106/160] django/views/static.py (django/django v4.1): {'cov_qvalue_exec': 21}
  [107/160] sympy/printing/mathematica.py (sympy/sympy v1.0): {'cov_qvalue_exec': 8}
  [108/160] django/contrib/admin/templatetags/admin_modify.py (django/django v5.0): {'cov_qvalue_exec': 0}
  [109/160] pylint/reporters/text.py (pylint-dev/pylint v2.15): {'cov_qvalue_exec': 18}
  [110/160] sklearn/ensemble/voting.py (scikit-learn/scikit-learn v0.22): {'cov_qvalue_exec': 0}
  [111/160] sklearn/utils/_set_output.py (scikit-learn/scikit-learn v1.3): {'cov_qvalue_exec': 0}
  [112/160] sympy/physics/vector/point.py (sympy/sympy v1.7): {'cov_qvalue_exec': 23}
  [113/160] django/core/management/base.py (django/django v4.2): {'cov_qvalue_exec': 3}
  [114/160] pylint/checkers/misc.py (pylint-dev/pylint v2.13): {'cov_qvalue_exec': 2}
